State,state_pop,city_count,state_cvs_count,state_under_count,City,city_pop,city_cvs_count,city_under_count
Kansas,2913314,20,54,33.0,Topeka,125310,2,2.0
Kansas,2913314,20,54,33.0,Manhattan,54604,1,1.0
New Mexico,2096829,10,25,38.0,Albuquerque,560513,13,4.0
New Mexico,2096829,10,25,38.0,Las Cruces,103432,2,1.0
New Mexico,2096829,10,25,38.0,Rio Rancho,99178,1,2.0
Nebraska,1934408,9,30,28.0,Omaha,478192,13,1.0
Nebraska,1934408,9,30,28.0,Grand Island,51267,1,1.0
Idaho,1787065,3,3,51.0,Boise,228959,1,6.0
Idaho,1787065,3,3,51.0,Nampa,99277,1,2.0
Idaho,1787065,3,3,51.0,Twin Falls,50197,1,1.0
Montana,1068778,8,16,16.0,Missoula,75516,2,0.0
Montana,1068778,8,16,16.0,Great Falls,58434,1,1.0
South Dakota,884659,2,3,24.0,Sioux Falls,183793,2,4.0
North Dakota,762062,4,6,17.0,Fargo,124662,2,2.0
North Dakota,762062,4,6,17.0,Bismarck,73529,2,0.0
North Dakota,762062,4,6,17.0,Grand Forks,55839,1,1.0
Alaska,731545,2,4,18.0,Anchorage,288000,2,7.0
Wyoming,578759,2,2,15.0,Cheyenne,64235,1,1.0
Wyoming,578759,2,2,15.0,Casper,57931,1,1.0
